service_name,service_prefix
AWS Account Management,account
AWS Activate,activate
Alexa for Business,a4b
AmazonMediaImport,mediaimport
AWS Amplify,amplify
AWS Amplify Admin,amplifybackend
AWS Amplify UI Builder,amplifyuibuilder
Apache Kafka APIs for Amazon MSK clusters,kafka-cluster
Amazon API Gateway,execute-api
Amazon API Gateway Management,apigateway
Amazon API Gateway Management V2,apigateway
AWS App Mesh,appmesh
AWS App Mesh Preview,appmesh-preview
AWS App Runner,apprunner
AWS App Studio,appstudio
AWS App2Container,a2c
AWS AppConfig,appconfig
AWS AppFabric,appfabric
Amazon AppFlow,appflow
Amazon AppIntegrations,app-integrations
AWS Application Auto Scaling,application-autoscaling
AWS Application Cost Profiler Service,application-cost-profiler
Application Discovery Arsenal,arsenal
AWS Application Discovery Service,discovery
AWS Application Migration Service,mgn
AWS Application Transformation Service,application-transformation
Amazon AppStream 2.0,appstream
AWS AppSync,appsync
AWS Artifact,artifact
Amazon Athena,athena
AWS Audit Manager,auditmanager
AWS Auto Scaling,autoscaling-plans
AWS B2B Data Interchange,b2bi
AWS Backup,backup
AWS Backup Gateway,backup-gateway
AWS Backup storage,backup-storage
AWS Batch,batch
Amazon Bedrock,bedrock
AWS Billing,billing
AWS Billing And Cost Management Data Exports,bcm-data-exports
AWS Billing Conductor,billingconductor
AWS Billing Console,aws-portal
Amazon Braket,braket
AWS Budget Service,budgets
AWS BugBust,bugbust
AWS Certificate Manager,acm
AWS Chatbot,chatbot
Amazon Chime,chime
AWS Clean Rooms,cleanrooms
AWS Clean Rooms ML,cleanrooms-ml
AWS Cloud Control API,cloudformation
Amazon Cloud Directory,clouddirectory
AWS Cloud Map,servicediscovery
AWS Cloud9,cloud9
AWS CloudFormation,cloudformation
Amazon CloudFront,cloudfront
Amazon CloudFront KeyValueStore,cloudfront-keyvaluestore
AWS CloudHSM,cloudhsm
Amazon CloudSearch,cloudsearch
AWS CloudShell,cloudshell
AWS CloudTrail,cloudtrail
AWS CloudTrail Data,cloudtrail-data
Amazon CloudWatch,cloudwatch
Amazon CloudWatch Application Insights,applicationinsights
Amazon CloudWatch Application Signals,application-signals
Amazon CloudWatch Evidently,evidently
Amazon CloudWatch Internet Monitor,internetmonitor
Amazon CloudWatch Logs,logs
Amazon CloudWatch Network Monitor,networkmonitor
Amazon CloudWatch Observability Access Manager,oam
AWS CloudWatch RUM,rum
Amazon CloudWatch Synthetics,synthetics
AWS CodeArtifact,codeartifact
AWS CodeBuild,codebuild
Amazon CodeCatalyst,codecatalyst
AWS CodeCommit,codecommit
AWS CodeConnections,codeconnections
AWS CodeDeploy,codedeploy
AWS CodeDeploy secure host commands service,codedeploy-commands-secure
Amazon CodeGuru,codeguru
Amazon CodeGuru Profiler,codeguru-profiler
Amazon CodeGuru Reviewer,codeguru-reviewer
Amazon CodeGuru Security,codeguru-security
AWS CodePipeline,codepipeline
AWS CodeStar,codestar
AWS CodeStar Connections,codestar-connections
AWS CodeStar Notifications,codestar-notifications
Amazon CodeWhisperer,codewhisperer
Amazon Cognito Identity,cognito-identity
Amazon Cognito Sync,cognito-sync
Amazon Cognito User Pools,cognito-idp
Amazon Comprehend,comprehend
Amazon Comprehend Medical,comprehendmedical
AWS Compute Optimizer,compute-optimizer
AWS Config,config
Amazon Connect,connect
Amazon Connect Cases,cases
Amazon Connect Customer Profiles,profile
Amazon Connect Voice ID,voiceid
AWS Connector Service,awsconnector
AWS Management Console Mobile App,consoleapp
AWS Consolidated Billing,consolidatedbilling
AWS Control Catalog,controlcatalog
AWS Control Tower,controltower
AWS Cost and Usage Report,cur
AWS Cost Explorer Service,ce
AWS Cost Optimization Hub,cost-optimization-hub
AWS Customer Verification Service,customer-verification
AWS Data Exchange,dataexchange
Amazon Data Lifecycle Manager,dlm
AWS Data Pipeline,datapipeline
AWS Database Migration Service,dms
Database Query Metadata Service,dbqms
AWS DataSync,datasync
Amazon DataZone,datazone
AWS Deadline Cloud,deadline
AWS DeepComposer,deepcomposer
AWS DeepLens,deeplens
AWS DeepRacer,deepracer
Amazon Detective,detective
AWS Device Farm,devicefarm
Amazon DevOps Guru,devops-guru
AWS Diagnostic tools,ts
AWS Direct Connect,directconnect
AWS Directory Service,ds
Amazon DocumentDB Elastic Clusters,docdb-elastic
Amazon DynamoDB,dynamodb
Amazon DynamoDB Accelerator (DAX),dax
Amazon EC2,ec2
Amazon EC2 Auto Scaling,autoscaling
Amazon EC2 Image Builder,imagebuilder
Amazon EC2 Instance Connect,ec2-instance-connect
Amazon EKS Auth,eks-auth
AWS Elastic Beanstalk,elasticbeanstalk
Amazon Elastic Block Store,ebs
Amazon Elastic Container Registry,ecr
